  WF centre and spread    1  (  0.002051,  3.327725,  6.932077 )     7.36882944
  WF centre and spread    2  (  0.002121,  3.327738,  6.932075 )     7.36885500
  WF centre and spread    3  (  0.000142,  3.840616, -6.973096 )     2.25976590
  WF centre and spread    4  (  0.000141,  3.840615, -6.973095 )     2.25976497
  WF centre and spread    5  (  0.003100,  3.797060, -6.983979 )     2.36506218
  WF centre and spread    6  (  0.003100,  3.797060, -6.983980 )     2.36506097
  WF centre and spread    7  ( -0.000893,  3.674091,  6.985483 )     2.46490963
  WF centre and spread    8  ( -0.000893,  3.674092,  6.985481 )     2.46489945
  WF centre and spread    9  (  0.000099,  3.823822,  6.988660 )     1.99297844
  WF centre and spread   10  (  0.000255,  3.823822,  6.988660 )     1.99298388
  WF centre and spread   11  ( -0.001825,  3.623914, -6.994699 )     2.68789259
  WF centre and spread   12  ( -0.002050,  3.623913, -6.994698 )     2.68789885
  WF centre and spread   13  (  1.716506,  6.389507, -6.735561 )     7.46203580
  WF centre and spread   14  (  1.716549,  6.389526, -6.735559 )     7.46214374
  WF centre and spread   15  (  1.740042,  5.941914, -6.838549 )     2.25611034
  WF centre and spread   16  (  1.740040,  5.941916, -6.838550 )     2.25610284
  WF centre and spread   17  (  1.737671,  5.987547, -6.834887 )     2.35929861
  WF centre and spread   18  (  1.737671,  5.987546, -6.834887 )     2.35930344
  WF centre and spread   19  (  1.741157,  6.118778, -6.764631 )     2.41433839
  WF centre and spread   20  (  1.741157,  6.118776, -6.764633 )     2.41434026
  WF centre and spread   21  (  1.679543,  5.968654, -6.778767 )     2.01970923
  WF centre and spread   22  (  1.679670,  5.968617, -6.778759 )     2.01959090
  WF centre and spread   23  (  1.822233,  6.154314, -6.821285 )     2.66688159
  WF centre and spread   24  (  1.822064,  6.154344, -6.821293 )     2.66692991
  WF centre and spread   25  ( -0.453614,  5.037508, -4.958807 )     2.17197228
  WF centre and spread   26  ( -0.453634,  5.037523, -4.958788 )     2.17197317
  WF centre and spread   27  ( -0.039925,  5.448036, -4.112101 )     2.39812036
  WF centre and spread   28  ( -0.039910,  5.448052, -4.112101 )     2.39811784
  WF centre and spread   29  (  0.542670,  5.148355, -4.897296 )     2.18302817
  WF centre and spread   30  (  0.542655,  5.148329, -4.897303 )     2.18302344
  WF centre and spread   31  ( -0.050741,  5.942498, -4.999560 )     2.14816184
  WF centre and spread   32  ( -0.050721,  5.942495, -4.999572 )     2.14816536
  WF centre and spread   33  (  1.272584,  2.097914, -5.722154 )     2.58447656
  WF centre and spread   34  (  1.272744,  2.097964, -5.722341 )     2.58476412
  WF centre and spread   35  (  1.672910,  1.804614, -4.827425 )     2.65206172
  WF centre and spread   36  (  1.672671,  1.804614, -4.827459 )     2.65198036
  WF centre and spread   37  (  2.281342,  2.071805, -5.609171 )     2.44453698
  WF centre and spread   38  (  2.281444,  2.071758, -5.608965 )     2.44432061
  WF centre and spread   39  (  1.732451,  2.863117, -5.097614 )     2.36603645
  WF centre and spread   40  (  1.732429,  2.863117, -5.097613 )     2.36603286
  WF centre and spread   41  (  2.201853,  4.739160,  5.163802 )     2.17675732
  WF centre and spread   42  (  2.201849,  4.739164,  5.163804 )     2.17675334
  WF centre and spread   43  (  1.773807,  4.334237,  4.324396 )     2.40001590
  WF centre and spread   44  (  1.773808,  4.334239,  4.324395 )     2.40001636
  WF centre and spread   45  (  1.202645,  4.644801,  5.112645 )     2.18368957
  WF centre and spread   46  (  1.202643,  4.644795,  5.112645 )     2.18369356
  WF centre and spread   47  (  1.782992,  3.840958,  5.211825 )     2.15470569
  WF centre and spread   48  (  1.782998,  3.840958,  5.211823 )     2.15470335
  WF centre and spread   49  ( -0.442277,  1.393241,  5.962773 )     2.63956748
  WF centre and spread   50  ( -0.442162,  1.393208,  5.962888 )     2.63976169
  WF centre and spread   51  ( -0.102321,  1.716739,  5.054199 )     2.60724714
  WF centre and spread   52  ( -0.102480,  1.716735,  5.054229 )     2.60718362
  WF centre and spread   53  (  0.554640,  1.440270,  5.795426 )     2.41811296
  WF centre and spread   54  (  0.554697,  1.440311,  5.795289 )     2.41797647
  WF centre and spread   55  ( -0.009582,  0.653307,  5.296851 )     2.38353193
  WF centre and spread   56  ( -0.009594,  0.653305,  5.296855 )     2.38352441
